state_code,year,alos_nights,avg_expenditure_rm,domestic_visitors_000,tourism_receipts_rm_mil,tourism_trips_000,dts_hotels_count,dts_rooms_count,population,hh_water_access,wqi_annual,n_rivers,waste_tonnes,coastal_area_fraction,pa_area_fraction,estimated_coastal_hotels,estimated_pa_hotels,motac_hotels_rated_count,green_hotel_count,tourism_concentration_ratio,expenditure_per_visitor,hotel_density_per_capita,green_hotel_share,international_arrivals_share
PRK,2021,2.29350409312326,248.080856538094,4489.273,1159.53265234848,4674.011,658.0,32676.0,2515.8,99.4,78.6,10.0,,0.092434,0.393332,3,13,34,,1.7844315923364336,258.28962781913236,1.3514587805071945,0.0,
PRK,2022,2.42853989637977,256.866943385182,14566.727,4541.33101270089,17679.702,660.0,32902.0,2514.4,99.2,64.38,8.0,,0.092434,0.393332,3,13,34,,5.793321269487751,311.760563145097,1.3522112631244034,0.0,
PRK,2023,2.3457677558445,299.556291771187,17107.518,5641.02361320425,18831.264,660.0,32900.0,2540.4,99.2,79.95,19.0,,0.092434,0.393332,3,13,34,,6.734182805857345,329.7394521639112,1.3383719099354432,0.0,
PRK,2024,2.3549722911944,302.203837848145,21776.217,7223.79803827434,23903.727,660.0,32858.0,,,86.53,15.0,,0.092434,0.393332,3,13,34,,,331.7287864221017,,0.0,
PRK,2025,2.43937248808826,312.04771613634,23642.055,8018.53798306468,25696.5123230103,682.0,36362.0,,,80.38,8.0,,0.092434,0.393332,3,13,34,,,339.16417092611783,,0.0,
SBH,2020,1.96210740287431,246.449716429957,10336.897,2676.77169855219,10861.33,816.0,45098.0,3418.8,84.7,86.6,107.0,,0.143033,0.615656,9,38,62,4.0,3.023545396045396,258.9531170284651,1.8135018135018135,0.06451612903225806,
SBH,2021,2.31287857012766,262.594895253719,3815.016,1052.02211208469,4006.255,818.0,45598.0,3412.6,84.7,88.96,70.0,,0.143033,0.615656,9,38,62,4.0,1.117920647014007,275.7582437621992,1.8167965773896737,0.06451612903225806,
SBH,2022,3.0576352783597,279.679911153468,12589.005,4825.8695952754,17254.974,830.0,46804.0,3414.9,87.6,84.77,71.0,,0.143033,0.615656,9,38,62,4.0,3.6864930159009046,383.34003324928375,1.8155729303932764,0.06451612903225806,
SBH,2023,2.67140939347793,337.307003304163,16080.074,6712.51460553787,19900.312,832.0,46840.0,3592.8,87.6,85.94,69.0,,0.143033,0.615656,9,38,62,4.0,4.475638499220663,417.4430170867292,1.725673569360944,0.06451612903225806,
SBH,2024,3.01161889379518,358.180569911899,20591.813,8634.24673303019,24105.849,848.0,48658.0,,,84.81,47.0,,0.143033,0.615656,9,38,62,4.0,,419.3048340634304,,0.06451612903225806,
